SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Floors,Windows,PreviousSalePrice
879.16,3.0,4.0,626.06,59.77,8.0,59.29,5.6,94.33,1.99,7.0,10.0,7.0,1.0,11.0,657214.5289
1049.9,3.0,4.0,310.73,63.55,7.0,48.24,16.32,91.19,1.94,6.0,7.0,7.0,1.0,9.0,422112.7146
550.0,1.0,1.0,418.94,71.58,3.0,11.38,25.58,92.24,1.52,1.0,1.0,2.0,1.0,15.0,273083.5785
785.06,1.0,1.0,165.5,51.01,6.0,46.28,18.88,87.1,1.55,5.0,6.0,8.0,1.0,19.0,30300.22859
1362.44,3.0,3.0,1264.2,14.43,7.0,92.36,36.86,94.79,0.58,8.0,10.0,10.0,1.0,17.0,633783.7663
1058.03,2.0,3.0,372.22,37.01,9.0,13.74,28.76,97.81,1.16,6.0,3.0,6.0,1.0,12.0,488752.8841
834.54,2.0,3.0,1030.56,12.35,5.0,18.63,40.37,95.94,1.17,4.0,3.0,8.0,1.0,15.0,269936.4519
886.37,1.0,4.0,398.52,34.23,9.0,1.34,1.5,99.9,1.44,6.0,10.0,8.0,1.0,22.0,385507.5642
1009.88,4.0,3.0,1151.39,53.47,6.0,2.43,10.29,94.88,1.63,7.0,5.0,3.0,1.0,18.0,238363.5957
939.61,1.0,4.0,419.2,10.14,9.0,62.77,2.35,82.76,0.46,3.0,3.0,7.0,1.0,9.0,299673.1726
2099.87,3.0,3.0,185.09,50.72,8.0,34.44,4.59,95.17,1.26,3.0,1.0,5.0,1.0,6.0,523697.1001
695.55,3.0,3.0,390.79,17.03,9.0,12.09,8.44,88.05,2.15,9.0,5.0,9.0,1.0,21.0,337599.7862
1624.02,2.0,3.0,347.64,9.1,8.0,67.38,15.4,90.63,2.21,5.0,6.0,8.0,1.0,19.0,430769.0248
1132.88,3.0,3.0,686.08,1.66,10.0,72.09,31.97,83.1,0.74,8.0,9.0,7.0,1.0,5.0,453494.4504
696.62,1.0,3.0,675.25,40.39,5.0,3.5,17.66,97.48,1.88,4.0,7.0,7.0,1.0,9.0,171184.1075
2015.84,2.0,5.0,1027.66,19.79,10.0,68.99,17.19,95.09,1.52,6.0,7.0,8.0,1.0,12.0,508900.7132
1941.44,2.0,4.0,28.23,39.35,7.0,3.18,6.73,98.42,1.18,3.0,7.0,6.0,1.0,11.0,445847.912
1065.64,2.0,3.0,398.25,21.77,7.0,43.63,3.27,90.97,0.37,3.0,10.0,9.0,1.0,6.0,247156.1343
666.15,2.0,2.0,831.59,15.22,5.0,69.85,22.32,94.52,1.64,3.0,8.0,6.0,1.0,12.0,87185.42451
858.13,3.0,2.0,574.61,13.72,7.0,107.99,24.01,99.9,1.79,4.0,6.0,7.0,1.0,13.0,288829.7104
550.0,1.0,1.0,466.04,43.48,5.0,57.11,24.94,92.81,2.24,1.0,9.0,8.0,1.0,2.0,263072.4407
928.34,2.0,2.0,560.91,51.95,6.0,93.4,21.25,83.87,1.37,4.0,5.0,2.0,1.0,16.0,44487.92053
812.21,2.0,2.0,443.47,12.23,5.0,43.41,42.38,94.07,1.08,3.0,3.0,6.0,1.0,17.0,99428.18643
988.51,2.0,2.0,733.98,54.64,10.0,9.28,13.04,99.9,1.48,5.0,4.0,5.0,1.0,22.0,186110.2906
576.07,3.0,2.0,450.58,17.39,6.0,82.85,4.34,91.56,0.72,5.0,5.0,7.0,1.0,15.0,197836.9608
1660.73,2.0,2.0,304.76,12.55,9.0,26.25,30.23,96.54,1.49,4.0,8.0,6.0,1.0,4.0,329318.8029
767.32,1.0,4.0,959.68,18.66,8.0,33.42,14.04,99.9,1.25,6.0,9.0,8.0,1.0,15.0,324320.0904
1303.39,1.0,4.0,11.32,32.55,8.0,46.47,21.42,97.04,1.22,7.0,8.0,10.0,1.0,15.0,314885.0051
760.79,1.0,3.0,311.73,19.17,7.0,2.98,20.13,99.9,0.71,4.0,9.0,8.0,1.0,33.5,339129.0975
550.0,3.0,3.0,655.24,28.95,7.0,36.52,14.1,99.9,1.13,6.0,3.0,4.0,1.0,19.0,330051.4607
1076.83,1.0,3.0,353.65,24.86,6.0,12.32,6.14,96.55,1.39,4.0,9.0,6.0,1.0,21.0,167238.5035
550.0,3.0,4.0,510.13,36.6,6.0,82.75,17.58,97.2,1.75,5.0,6.0,4.0,1.0,18.0,537327.1678
759.25,2.0,4.0,814.23,61.26,5.0,37.33,32.03,99.9,1.66,5.0,10.0,5.0,1.0,18.0,263801.7099
1083.25,3.0,4.0,134.26,17.57,10.0,13.14,0.87,88.76,1.1,6.0,10.0,7.0,1.0,33.5,276948.678
839.76,1.0,4.0,138.49,47.83,9.0,6.82,8.14,91.74,1.64,7.0,10.0,5.0,1.0,22.0,210391.3352
1527.26,1.0,3.0,764.46,76.92,7.0,137.10750000000002,43.17,87.38,2.08,4.0,5.0,7.0,1.0,10.0,120338.513
1644.94,3.0,4.0,1206.59,42.01,5.0,41.64,24.32,91.61,1.76,7.0,2.0,3.0,1.0,3.0,369149.6639
800.65,1.0,2.0,924.14,28.2,6.0,75.68,26.9,90.85,2.16,3.0,7.0,6.0,1.0,12.0,221897.7729
1302.39,2.0,4.0,384.91,32.64,7.0,39.67,2.99,99.13,0.56,7.0,7.0,9.0,1.0,18.0,350525.4698
648.46,3.0,2.0,831.01,58.97,3.0,108.21,42.9,85.62,0.89,4.0,8.0,5.0,1.0,12.0,68634.04257
1558.66,3.0,2.0,296.59,34.11,9.0,38.01,20.81,88.0,2.14,6.0,10.0,7.0,1.0,22.0,306140.8196
925.54,2.0,2.0,300.08,36.94,5.0,0.75,27.03,92.27,1.69,4.0,6.0,4.0,1.0,7.0,90218.49559
843.66,3.0,3.0,421.13,26.26,9.0,77.15,37.4,93.71,1.81,4.0,10.0,5.0,1.0,16.0,246118.698
915.01,3.0,3.0,1134.25,48.31,6.0,74.33,36.9,99.11,2.38,6.0,8.0,5.0,1.0,33.5,323957.2135
1663.62,4.0,3.0,381.97,47.81,7.0,118.65,28.11,91.33,2.33,8.0,4.0,5.0,1.0,12.0,438017.921
1445.66,2.0,1.0,553.91,45.45,6.0,23.82,32.65,96.94,2.35,6.0,7.0,7.0,1.0,21.0,67504.40926
1261.2,1.0,5.0,689.67,22.1,9.0,84.25,23.04,98.0,0.95,4.0,5.0,6.0,1.0,21.0,332648.0657
1356.3,2.0,3.0,1108.87,12.95,9.0,27.97,0.87,99.27,0.59,5.0,10.0,8.0,1.0,22.0,407323.1948
553.7,4.0,5.0,665.91,1.15,8.0,17.47,17.55,94.91,1.6,5.0,4.0,8.0,1.0,22.0,364012.9657
779.4,1.0,5.0,416.12,40.4,6.0,81.69,21.52,86.53,0.73,3.0,7.0,5.0,1.0,13.0,398492.6177
1147.62,1.0,4.0,657.62,3.02,9.0,60.9,16.88,97.23,1.55,6.0,6.0,8.0,1.0,11.0,256673.1538
550.0,2.0,3.0,315.86,36.12,5.0,80.47,8.06,95.96,2.1,5.0,5.0,6.0,1.0,6.0,81756.67378
692.41,1.0,3.0,1059.23,42.64,4.0,13.62,24.49,95.06,1.83,4.0,10.0,6.0,1.0,7.0,40774.88886
872.51,2.0,1.0,763.07,50.3,5.0,57.23,20.9,96.13,1.92,2.0,5.0,6.0,1.0,16.0,25325.59878
1064.35,1.0,3.0,176.48,1.84,6.0,116.26,12.47,96.19,2.04,6.0,10.0,9.0,1.0,6.0,252051.5679
1182.99,2.0,2.0,548.96,43.67,6.0,26.76,4.49,96.36,1.39,2.0,8.0,5.0,1.0,20.0,228509.0391
1024.69,1.0,4.0,386.54,17.87,10.0,2.49,2.2,92.8,1.73,9.0,9.0,10.0,1.0,15.0,244871.9574
1109.72,6.0,3.0,44.17,23.55,9.0,5.89,3.17,99.9,0.84,5.0,5.0,3.0,1.0,8.0,567715.4167
1613.59,1.0,3.0,1070.89,8.74,6.0,40.59,28.63,99.39,1.52,7.0,9.0,7.0,1.0,13.0,407881.7673
1903.44,3.0,2.0,713.63,26.04,6.0,1.93,12.98,97.71,2.02,5.0,5.0,7.0,1.0,12.0,371614.1954
836.49,1.0,3.0,576.88,20.09,7.0,20.58,8.37,82.63,2.61,3.0,1.0,7.0,1.0,12.0,200800.0944
1787.52,4.0,3.0,446.99,39.2,9.0,75.0,11.41,90.5,1.4,7.0,6.0,3.0,1.0,16.0,567907.53
1096.85,2.0,3.0,486.18,52.0,3.0,113.55,13.98,88.63,1.2,2.0,7.0,8.0,1.0,7.0,199218.9188
1183.17,1.0,4.0,508.0,36.09,10.0,77.92,6.84,97.6,1.54,6.0,9.0,7.0,1.0,17.0,641352.2195
873.35,1.0,2.0,422.64,51.86,4.0,54.69,28.58,99.9,1.45,2.0,4.0,6.0,1.0,10.0,38146.02878
607.97,1.0,3.0,1038.68,5.38,7.0,15.06,1.98,95.96,1.62,6.0,5.0,5.0,1.0,10.0,263677.9399
1246.55,1.0,2.0,777.32,31.13,6.0,26.72,31.59,98.19,1.92,7.0,4.0,7.0,1.0,13.0,106598.7978
976.42,5.0,4.0,22.64,45.98,6.0,37.52,6.72,91.57,1.39,6.0,1.0,4.0,1.0,3.0,695076.4626
1135.98,2.0,2.0,410.51,22.02,6.0,34.96,16.52,89.43,1.49,2.0,8.0,5.0,1.0,12.0,301882.3992
805.96,2.0,3.0,844.53,47.19,7.0,3.85,30.4,98.24,2.55,6.0,9.0,8.0,1.0,30.0,256491.0536
1667.3,2.0,5.0,592.47,16.43,10.0,30.15,16.34,93.4,1.66,9.0,7.0,7.0,1.0,19.0,649539.8808
611.16,1.0,3.0,246.48,65.47,3.0,32.18,31.63,98.13,0.94,2.0,9.0,9.0,1.0,14.0,52188.69462
1539.71,5.0,4.0,582.13,50.09,8.0,1.2,28.41,99.9,2.1,8.0,8.0,8.0,1.0,16.0,777690.5729624999
1328.73,4.0,3.0,780.46,29.1,8.0,54.25,31.38,98.69,1.22,8.0,3.0,5.0,1.0,20.0,362558.6935
823.84,4.0,2.0,900.04,46.56,6.0,42.5,3.12,94.86,1.7,6.0,9.0,10.0,1.0,14.0,335042.4614
574.1,2.0,3.0,464.9,28.43,3.0,47.5,7.9,84.86,1.23,1.0,5.0,4.0,1.0,33.5,269969.5656
1965.15,4.0,3.0,860.28,33.12,7.0,5.7,8.05,98.68,1.42,4.0,6.0,7.0,1.0,12.0,684518.1409
1929.26,1.0,2.0,972.95,11.12,9.0,72.24,10.01,97.07,2.17,6.0,5.0,6.0,1.0,14.0,127870.0669
1356.4,2.0,4.0,261.49,74.07,7.0,45.93,35.28,93.77,1.5,7.0,9.0,6.0,1.0,11.0,349515.0949
1025.08,3.0,3.0,898.79,19.88,9.0,5.95,14.62,97.33,0.41,6.0,5.0,7.0,1.0,19.0,216956.1219
550.0,1.0,1.0,560.02,38.62,6.0,108.95,1.18,99.78,1.53,3.0,3.0,4.0,1.0,22.0,35490.85796
1017.85,2.0,3.0,553.96,29.37,7.0,63.8,11.84,93.79,0.66,3.0,8.0,5.0,1.0,4.0,231443.9118
550.0,4.0,2.0,981.28,26.15,6.0,57.02,16.07,97.21,1.42,6.0,10.0,6.0,1.0,27.0,42993.66015
626.96,1.0,3.0,224.97,27.91,7.0,93.46,18.03,89.96,1.41,4.0,7.0,4.0,1.0,7.0,36203.34458
550.0,1.0,2.0,109.9,31.68,3.0,99.72,11.05,99.55,2.19,1.0,2.0,4.0,1.0,17.0,117233.5148
1946.34,1.0,1.0,521.38,22.93,6.0,4.85,11.11,92.92,1.06,5.0,5.0,8.0,1.0,12.0,133799.7569
1168.53,2.0,2.0,723.13,46.7,6.0,59.15,16.33,99.9,1.18,2.0,2.0,4.0,1.0,2.0,130076.8798
926.57,4.0,4.0,138.13,55.14,5.0,84.76,18.63,86.19,1.09,6.0,6.0,7.0,1.0,12.0,445181.9618
1635.13,2.0,3.0,285.85,19.8,7.0,8.43,16.55,87.4,1.58,7.0,10.0,4.0,1.0,10.0,522381.8816
550.0,1.0,4.0,200.61,22.44,3.0,105.69,5.32,86.92,1.23,2.0,1.0,6.0,1.0,2.0,149820.1191
835.62,3.0,4.0,949.84,41.66,10.0,17.84,18.85,88.3,0.56,5.0,10.0,10.0,1.0,1.0,390226.8284
558.96,4.0,2.0,235.51,60.72,8.0,93.16,22.11,98.49,1.63,5.0,8.0,6.0,1.0,14.0,221524.3637
648.96,1.0,4.0,817.19,21.12,6.0,18.85,3.02,98.19,1.51,2.0,4.0,7.0,1.0,17.0,18473.72053
917.84,2.0,4.0,535.27,59.37,9.0,75.21,19.47,94.65,2.0,5.0,4.0,6.0,1.0,17.0,262625.7679
550.0,2.0,3.0,761.48,14.72,5.0,10.69,46.74,94.01,1.38,6.0,7.0,5.0,1.0,11.0,149272.1084
1496.13,3.0,4.0,533.45,7.99,6.0,13.48,18.91,94.21,2.8,7.0,8.0,9.0,1.0,7.0,504701.4498
918.52,1.0,1.0,914.78,19.65,4.0,67.74,30.11,94.24,1.5,3.0,1.0,6.0,1.0,21.0,57468.5458
2080.79,3.0,3.0,670.35,5.92,10.0,41.65,51.165000000000006,99.14,1.25,8.0,9.0,9.0,1.0,17.0,724354.0835
1404.65,4.0,4.0,826.77,49.69,7.0,28.46,8.03,94.75,2.5,6.0,7.0,7.0,1.0,15.0,439360.2176
829.85,2.0,3.0,560.84,50.89,5.0,23.23,25.41,90.44,1.2,4.0,2.0,3.0,1.0,15.0,75170.08072
1524.01,2.0,3.0,658.44,40.87,6.0,137.10750000000002,21.12,97.62,1.28,4.0,6.0,8.0,1.0,7.0,421787.3001
949.96,2.0,4.0,518.32,52.36,9.0,109.12,16.24,99.84,1.33,2.0,5.0,4.0,1.0,22.0,172576.8664
1192.9,4.0,5.0,62.76,36.18,10.0,70.33,13.26,95.52,1.47,7.0,7.0,7.0,1.0,19.0,613634.17
1485.68,3.0,4.0,621.68,30.01,10.0,62.91,12.79,97.32,2.21,6.0,6.0,7.0,1.0,21.0,361800.4769
2336.49,2.0,4.0,217.7,28.77,10.0,10.4,5.06,99.9,1.77,9.0,10.0,10.0,1.0,21.0,648019.6787
730.57,2.0,4.0,144.83,38.1,6.0,67.26,0.68,83.03,2.31,5.0,5.0,7.0,1.0,10.0,172317.0729
936.56,2.0,2.0,268.22,30.81,7.0,33.0,16.34,91.73,1.28,5.0,2.0,8.0,1.0,15.0,142489.631
850.67,3.0,3.0,356.65,43.89,8.0,68.68,0.37,94.9,1.23,6.0,8.0,9.0,1.0,14.0,311922.8868
550.0,1.0,2.0,189.21,40.61,4.0,72.05,30.93,91.91,1.9,2.0,5.0,5.0,1.0,11.0,54355.99297
2168.2,3.0,3.0,436.55,38.99,10.0,20.77,11.87,88.54,0.39,6.0,3.0,6.0,1.0,16.0,511879.9257
682.53,3.0,3.0,873.23,37.13,8.0,48.83,13.8,96.48,2.01,7.0,5.0,6.0,1.0,30.0,286197.6503
1163.29,1.0,3.0,378.05,37.06,9.0,15.82,12.68,99.9,1.25,8.0,9.0,6.0,1.0,21.0,263490.0901
550.0,3.0,4.0,510.33,20.0,10.0,13.31,27.0,99.9,1.02,6.0,6.0,6.0,1.0,13.0,278043.3178
714.11,1.0,3.0,461.22,63.03,4.0,115.88,12.01,85.92,0.83,2.0,8.0,3.0,1.0,21.0,106271.6856
1255.64,4.0,2.0,625.39,6.03,5.0,46.96,2.72,91.14,1.48,3.0,10.0,6.0,1.0,23.0,662887.2926
550.0,1.0,3.0,496.46,17.29,3.0,114.72,22.01,92.34,1.93,3.0,6.0,9.0,1.0,21.0,4747.917512
1300.81,3.0,4.0,1173.01,3.26,9.0,121.61,23.36,90.91,1.75,6.0,10.0,10.0,1.0,13.0,773671.1855
550.0,2.0,2.0,685.98,24.34,9.0,68.13,7.31,97.33,1.17,4.0,7.0,6.0,1.0,11.0,91189.01874
946.23,2.0,4.0,887.52,82.91125,10.0,51.64,11.64,87.25,1.91,7.0,10.0,8.0,1.0,4.0,332921.2682
1134.91,6.0,3.0,153.37,8.77,9.0,8.26,10.22,92.24,1.92,5.0,5.0,5.0,1.0,7.0,597664.8735
550.0,1.0,4.0,722.38,25.56,5.0,38.55,16.46,96.41,1.58,4.0,3.0,5.0,1.0,16.0,61535.01434
1388.79,4.0,2.0,710.95,63.34,5.0,36.91,25.14,97.28,1.32,4.0,9.0,6.0,1.0,29.0,366455.8412
1298.07,1.0,2.0,780.42,42.94,8.0,85.77,38.36,93.36,1.92,6.0,4.0,3.0,1.0,13.0,185665.7328
550.0,2.0,3.0,418.02,20.34,6.0,69.13,38.42,87.03,1.63,5.0,1.0,3.0,1.0,11.0,121903.222
1431.56,4.0,4.0,277.35,54.02,8.0,13.18,9.5,92.16,1.02,6.0,3.0,6.0,1.0,30.0,631899.7745
550.0,1.0,3.0,201.22,52.54,5.0,81.68,19.79,89.04,1.97,1.0,9.0,7.0,1.0,2.0,146827.1836
726.52,3.0,3.0,750.84,30.56,10.0,30.6,20.01,99.9,1.11,8.0,6.0,6.0,1.0,22.0,182174.314
757.63,2.0,3.0,684.49,31.64,6.0,1.09,20.18,91.73,1.27,6.0,5.0,4.0,1.0,33.5,242674.727
1036.98,2.0,3.0,384.5,30.83,7.0,14.04,15.19,92.71,1.42,5.0,6.0,3.0,1.0,14.0,314244.3117
1127.34,3.0,5.0,695.64,31.66,8.0,53.33,2.98,99.42,1.72,4.0,3.0,3.0,1.0,19.0,433431.997
550.0,1.0,4.0,603.68,5.03,6.0,104.34,42.05,98.26,2.35,4.0,7.0,6.0,1.0,19.0,53649.98602
1386.95,1.0,4.0,387.79,40.65,9.0,61.66,24.59,95.41,2.19,5.0,4.0,5.0,1.0,11.0,306158.2534
794.16,4.0,3.0,213.83,32.69,8.0,108.68,21.95,99.9,1.54,5.0,2.0,4.0,1.0,24.0,346963.3248
550.0,1.0,2.0,680.1,56.39,4.0,37.3,51.01,90.54,2.18,2.0,3.0,4.0,1.0,15.0,239546.5162
1790.43,2.0,4.0,205.98,58.46,8.0,27.69,27.7,96.56,1.61,4.0,1.0,2.0,1.0,24.0,542732.7312
1033.23,1.0,2.0,488.34,78.47,4.0,30.72,34.02,85.6,1.08,1.0,7.0,7.0,1.0,15.0,12940.65675
1396.01,3.0,5.0,554.38,67.25,8.0,57.78,8.35,95.91,1.45,7.0,2.0,4.0,1.0,23.0,494610.9598
607.23,3.0,4.0,468.05,52.82,7.0,21.4,5.78,93.91,1.66,3.0,7.0,10.0,1.0,13.0,273394.1754
1409.85,1.0,4.0,671.34,48.42,8.0,30.43,30.31,99.9,2.11,6.0,2.0,2.0,1.0,13.0,198375.8915
1405.88,2.0,4.0,887.54,34.9,6.0,19.14,13.49,99.9,1.11,6.0,7.0,4.0,1.0,18.0,471364.7085
550.0,4.0,4.0,1088.51,29.77,7.0,52.74,14.78,93.71,1.24,5.0,2.0,4.0,1.0,26.0,389376.6611
550.0,1.0,3.0,621.03,39.89,3.0,52.95,20.42,94.63,2.02,1.0,1.0,4.0,1.0,7.0,74694.14436
1262.83,1.0,2.0,708.0,46.48,5.0,86.7,21.21,92.59,1.87,5.0,1.0,2.0,1.0,10.0,15959.44115
1128.09,3.0,3.0,1188.71,23.63,8.0,88.8,8.35,93.15,1.94,4.0,6.0,7.0,1.0,6.0,297892.8048
2018.97,3.0,3.0,565.31,49.35,7.0,25.93,20.71,90.83,1.04,5.0,6.0,7.0,1.0,16.0,604028.8823
2121.6,2.0,3.0,416.2,62.78,7.0,47.98,22.78,90.52,1.07,6.0,7.0,8.0,1.0,22.0,518605.8821
550.0,3.0,2.0,899.21,4.96,5.0,7.26,11.16,95.25,1.36,4.0,7.0,7.0,1.0,22.0,227060.8728
1056.11,1.0,3.0,300.08,17.17,9.0,23.61,3.78,92.12,0.6,5.0,3.0,7.0,1.0,8.0,291151.565
580.77,1.0,4.0,384.16,55.34,6.0,0.05,13.5,87.04,0.72,4.0,4.0,4.0,1.0,24.0,299836.1022
550.0,2.0,3.0,694.9,32.07,7.0,73.63,23.53,94.56,1.45,4.0,10.0,7.0,1.0,9.0,46118.17987
1247.24,2.0,5.0,508.51,60.16,7.0,37.74,11.43,84.92,1.11,6.0,5.0,7.0,1.0,14.0,309543.9053
1027.64,1.0,3.0,456.62,56.63,5.0,56.55,1.19,95.56,1.81,4.0,4.0,8.0,1.0,17.0,167827.265
557.97,2.0,3.0,214.17,13.79,6.0,112.75,7.06,92.91,2.3,6.0,6.0,6.0,1.0,5.0,150855.3204
968.63,1.0,3.0,955.04,16.35,7.0,43.74,12.92,98.05,0.53,5.0,3.0,2.0,1.0,33.5,131509.4889
1403.92,2.0,3.0,689.47,17.79,9.0,11.29,3.18,94.38,1.58,7.0,10.0,8.0,1.0,19.0,271038.2618
550.0,2.0,3.0,609.16,16.42,6.0,98.03,21.73,99.9,2.1,5.0,5.0,5.0,1.0,23.0,82818.77743
808.35,3.0,4.0,835.73,45.25,7.0,43.08,22.99,99.9,0.92,8.0,8.0,5.0,1.0,33.5,345420.5974
869.17,3.0,1.0,46.42,7.62,6.0,63.39,32.38,95.72,2.17,4.0,10.0,8.0,1.0,13.0,125982.1817
655.08,2.0,3.0,1017.17,28.09,3.0,76.75,23.39,93.49,1.02,2.0,7.0,6.0,1.0,19.0,168531.204
680.06,1.0,2.0,783.6,46.06,8.0,93.92,5.5,98.68,1.4,6.0,8.0,10.0,1.0,18.0,111407.4702
1003.5,2.0,3.0,382.44,62.58,8.0,30.42,9.59,93.56,1.01,6.0,4.0,5.0,1.0,7.0,285407.6512
905.99,2.0,2.0,584.18,1.93,7.0,30.62,1.79,88.22,0.47,3.0,5.0,8.0,1.0,26.0,250365.723
575.15,1.0,3.0,119.17,11.85,8.0,79.76,30.05,90.08,1.79,4.0,4.0,3.0,1.0,15.0,111407.2365
550.0,4.0,2.0,551.59,11.88,8.0,6.17,22.57,84.03,1.66,5.0,4.0,3.0,1.0,5.0,151572.89
908.6,2.0,3.0,553.36,31.84,7.0,59.84,16.4,96.07,1.09,4.0,4.0,5.0,1.0,16.0,180469.6874
1061.97,2.0,5.0,333.14,31.09,8.0,7.25,34.39,91.82,1.7,7.0,5.0,9.0,1.0,8.0,482118.338
1725.96,2.0,4.0,247.68,74.01,5.0,45.07,19.59,98.65,2.03,5.0,1.0,4.0,1.0,23.0,314188.3044
858.35,1.0,4.0,116.84,47.3,7.0,15.32,20.47,83.79,1.22,4.0,4.0,3.0,1.0,14.0,213288.0066
845.58,2.0,4.0,741.27,36.34,9.0,68.76,19.64,94.1,1.5,5.0,8.0,8.0,1.0,20.0,315686.2587
727.21,2.0,5.0,909.97,55.57,6.0,26.54,23.48,87.87,1.94,6.0,1.0,6.0,1.0,8.0,431243.6665
826.67,1.0,4.0,670.5,12.81,9.0,25.97,15.34,95.31,0.96,6.0,9.0,5.0,1.0,23.0,225821.0059
1588.03,2.0,3.0,124.47,5.1,10.0,32.94,10.23,99.9,1.71,7.0,3.0,4.0,1.0,24.0,522687.9463
1065.39,2.0,3.0,160.6,55.28,8.0,86.56,36.68,99.9,2.8600000000000003,5.0,5.0,6.0,1.0,11.0,236477.421
728.55,2.0,2.0,322.41,12.46,5.0,77.31,16.04,87.96,1.43,4.0,7.0,7.0,1.0,13.0,27940.96715
1179.73,1.0,4.0,467.63,42.83,8.0,73.36,33.76,84.04,1.39,3.0,8.0,6.0,1.0,20.0,441968.1855
550.0,1.0,4.0,641.16,41.81,9.0,93.13,45.79,98.0,1.73,4.0,8.0,8.0,1.0,20.0,110360.0506
673.11,3.0,2.0,812.29,67.46,6.0,41.15,34.15,97.71,1.92,4.0,6.0,5.0,1.0,18.0,124167.1582
550.0,2.0,2.0,349.55,39.72,5.0,107.8,21.23,92.7,1.51,6.0,7.0,8.0,1.0,23.0,129518.3305
1544.14,1.0,3.0,686.88,46.05,7.0,69.78,4.81,91.96,1.44,7.0,10.0,8.0,1.0,13.0,276742.857
1342.51,2.0,4.0,418.09,39.6,5.0,89.1,29.53,89.85,1.41,3.0,7.0,5.0,1.0,2.0,486856.5137
860.5,1.0,4.0,316.29,28.98,7.0,66.86,15.93,86.46,1.41,5.0,5.0,5.0,1.0,9.0,281249.714
662.87,1.0,3.0,193.62,61.7,7.0,94.33,36.19,96.87,1.42,5.0,6.0,8.0,1.0,9.0,170832.5863
1413.7,2.0,3.0,148.98,18.53,6.0,106.46,2.74,99.8,2.15,4.0,1.0,3.0,1.0,13.0,275282.2881
818.85,1.0,3.0,123.91,32.19,9.0,12.11,14.68,95.16,1.73,8.0,9.0,7.0,1.0,17.0,279702.9077
550.0,2.0,4.0,631.11,10.96,8.0,38.52,13.66,98.98,1.66,4.0,6.0,6.0,1.0,5.0,398879.2712
550.0,2.0,2.0,96.68,65.39,7.0,80.46,2.39,93.12,1.24,2.0,10.0,6.0,1.0,3.0,18290.21771
550.0,1.0,3.0,192.6,34.62,6.0,86.63,48.12,99.29,1.89,3.0,6.0,5.0,1.0,6.0,46990.28354
1099.56,2.0,3.0,432.09,31.18,8.0,77.51,16.49,92.35,1.5,4.0,4.0,6.0,1.0,23.0,343415.2069
787.7,2.0,2.0,62.85,53.83,8.0,48.54,21.69,90.61,1.52,4.0,2.0,7.0,1.0,9.0,69278.77008
934.57,3.0,1.0,346.34,79.29,8.0,45.2,2.14,84.45,2.36,4.0,2.0,3.0,1.0,33.5,24101.41437
550.0,1.0,5.0,210.44,41.76,9.0,69.84,7.09,95.69,1.29,4.0,8.0,8.0,1.0,26.0,92543.22644
1359.74,3.0,4.0,515.75,22.8,10.0,45.27,14.49,92.3,1.82,5.0,3.0,4.0,1.0,13.0,435714.2437
1060.93,2.0,3.0,360.62,50.43,9.0,0.85,4.06,99.32,0.92,6.0,1.0,4.0,1.0,31.0,237501.3884
1371.48,4.0,4.0,141.89,40.93,9.0,6.91,11.87,90.21,1.48,6.0,6.0,7.0,1.0,20.0,637684.9445
1187.21,2.0,3.0,566.0,20.93,5.0,65.64,1.53,90.14,1.61,5.0,8.0,7.0,1.0,23.0,277111.1081
982.34,1.0,2.0,94.79,17.67,7.0,16.18,9.03,96.13,1.84,4.0,6.0,6.0,1.0,33.5,179230.0974
761.99,3.0,1.0,302.17,15.11,7.0,11.7,41.65,91.73,2.39,4.0,3.0,4.0,1.0,33.5,46995.99678
1321.69,3.0,4.0,453.1,3.26,9.0,25.95,6.75,99.9,1.04,7.0,6.0,4.0,1.0,10.0,460344.4671
1619.25,4.0,3.0,487.47,35.75,9.0,32.41,14.57,91.39,1.3,7.0,10.0,10.0,1.0,18.0,777690.5729624999
550.0,2.0,3.0,586.28,15.64,4.0,75.75,12.25,90.21,1.32,2.0,9.0,7.0,1.0,9.0,93705.0841
1352.6,2.0,3.0,589.73,12.81,7.0,30.15,24.81,93.06,2.38,5.0,4.0,6.0,1.0,12.0,334433.6409
680.25,3.0,3.0,532.37,47.98,7.0,70.65,14.77,97.11,2.43,4.0,5.0,7.0,1.0,12.0,234284.394
550.0,2.0,2.0,196.84,12.43,4.0,27.22,26.31,92.29,2.0,1.0,10.0,8.0,1.0,24.0,13436.2447
550.0,3.0,3.0,214.99,30.25,5.0,93.89,1.79,99.9,1.51,6.0,2.0,4.0,1.0,33.5,236896.5935
1276.24,3.0,3.0,359.12,32.61,8.0,42.96,14.37,98.61,1.48,6.0,9.0,8.0,1.0,9.0,280252.0625
550.0,1.0,3.0,674.23,31.7,6.0,10.67,23.19,86.61,1.43,2.0,7.0,7.0,1.0,8.0,145960.6322
852.26,2.0,3.0,668.19,15.78,7.0,49.33,33.99,99.9,0.98,5.0,10.0,8.0,1.0,11.0,201881.6755
550.0,2.0,2.0,1074.17,58.86,3.0,45.73,35.87,86.16,1.82,2.0,2.0,2.0,1.0,5.0,22677.63184
